time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
6.6	0.000313	2	0	1.23511	0.0110239	0.831532	2.99989	3.04894	-1.8471	1.31675	1.90941	0.770887	0.261526	0.03	0	0	-0.5	
6.7	0.000327	2	0	1.5	0.0404037	0.827501	2.96006	2.87857	-1.85417	1.32725	1.92069	0.881398	0.26309	0.03	0.000471766	0.00050977	-0.5	
6.8	0.000312	3	0	1.5	0.045417	0.816608	2.96006	2.87857	-1.85417	1.51332	1.82726	2.19401	0.245468	0.262956	0.0337037	-0.00755987	-0.5	
6.9	0.000475	3	0	1.5	0.045417	0.825129	2.91823	2.71051	-1.85034	1.65517	1.7305	1.98979	0.25638	0.262729	0.0736647	-0.0344129	-0.5	
7	0.000373	3	0	1.5	0.0432835	0.788627	2.91823	2.71051	-1.85034	1.57175	1.7693	1.87584	0.269857	0.262409	0.0241569	-0.0140247	-0.5	
7.1	0.00046	3	0	1.5	0.0432835	0.771434	2.87083	2.54643	-1.84731	1.5753	1.8098	1.82435	0.297931	0.261998	0.0267608	-0.00224227	-0.5	
7.2	0.00049	3	0	1.5	0.0469449	0.78662	2.87083	2.54643	-1.84731	1.7192	1.94479	1.87286	0.548785	0.574499	0.0379213	-0.0173873	-0.5	
7.3	0.00092	3	0	1.5	0.0469449	0.751878	2.83667	2.37775	-1.8412	1.80327	1.89909	1.83141	0.575195	0.705261	0.0456775	-0.0433852	-0.5	
7.4	0.000955	3	0	1.5	0.0370777	0.739636	2.83667	2.37775	-1.8412	1.83863	1.89332	1.85389	0.600848	0.762345	0.0444979	-0.0388081	-0.5	
7.5	0.000387	3	0	1.5	0.0370777	0.713099	2.80436	2.21674	-1.83296	-5.60107	2.99243	1.26212	0.3597	0.03	-0.00154728	-0.00719353	-0.5	
7.6	0.000344	3	0	1.5	0.0269101	0.710864	2.80436	2.21674	-1.83296	-5.58199	2.99099	1.22629	0.352076	0.03	0.00830492	-0.00942891	-0.5	
7.7	0.00035	3	0	1.5	0.0269101	0.669754	2.7756	2.07047	-1.82211	-5.56363	3.01785	1.17047	0.353563	0.03	0.0156952	0.00184939	-0.5	
7.8	0.000321	3	0	1.5	0.0169277	0.653843	2.7756	2.07047	-1.82211	-5.56363	3.01785	1.17047	0.353563	0.03	0.0156952	0.00184939	-0.5	
7.9	0.000351	3	0	1.5	0.0169277	0.652627	2.74597	1.92691	-1.82252	-5.56623	3.0035	1.20956	0.347876	0.03	0.0116188	-0.00888828	-0.5	
8	0.000345	4	0	1.5	0.0148131	0.624888	2.74597	1.92691	-1.82252	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.1	0.000346	4	0	1.5	0.0148131	0.6241	2.71627	1.78948	-1.82049	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.2	0.000344	4	0	1.5	0.0123719	0.57676	2.71627	1.78948	-1.82049	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.3	0.000353	4	0	1.5	0.0123719	0.564725	2.71627	1.78948	-1.82049	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.4	0.000335	4	0	1.5	0.0123719	0.543989	2.67553	1.6178	-1.81219	1.73886	1.82396	-2.34045	0.298471	0.756626	-0.0589256	-0.0228082	-0.5	
8.5	0.000331	5	0	1.5	0.405071	0.510901	2.67553	1.6178	-1.81219	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.6	0.000322	5	0	1.5	0.477648	0.499785	2.6481	1.47453	-1.80743	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.7	0.000338	5	0	1.5	0.534228	0.481873	2.6481	1.47453	-1.80743	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
8.8	0.000346	5	0	1.5	0.534228	0.454009	2.6481	1.47453	-1.80743	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.476034	
8.9	0.000306	5	0	1.5	0.534228	0.4365	2.63799	1.33423	-1.78933	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.5	
9	0.000316	5	0	1.5	0.926927	0.428652	2.63799	1.33423	-1.78933	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.374608	
