time	tictoc	state	task counter	tube width	phi des	v ropod odom	v ropod cmd	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
18.1	0.000726	1	2	1.5	0.146996	0.938	0.938	4.80619	0.479039	-0.505852	0	0	0	0	0	0	0	0	
18.2	0.00068	1	2	1.5	0.123191	0.938	0.938	4.89541	0.449874	-0.489701	0	0	0	0	0	0	0	0	
18.3	0.000761	1	2	1.5	0.1129	0.938	0.938	4.94581	0.432343	-0.48312	0	0	0	0	0	0	0	0	
18.4	0.000825	1	2	1.5	0.11209	0.938	0.938	5.03482	0.4026	-0.469442	0	0	0	0	0	0	0	0	
18.5	0.000679	1	2	1.5	0.106115	0.938	0.938	5.09946	0.371077	-0.469517	0	0	0	0	0	0	0	0	
18.6	0.000704	1	2	1.5	0.129698	0.938	0.938	5.18821	0.340665	-0.45763	0	0	0	0	0	0	0	0	
18.7	0.000626	1	2	1.5	0.12659	0.938	0.938	5.26237	0.307002	-0.469981	0	0	0	0	0	0	0	0	
18.8	0.000701	1	2	1.5	0.170076	0.938	0.938	5.35098	0.276311	-0.45832	0	0	0	0	0	0	0	0	
18.9	0.000744	1	2	1.5	0.167111	0.938	0.938	5.44192	0.230064	-0.4686	0	0	0	0	0	0	0	0	
19	0.000769	1	2	1.5	0.227625	0.938	0.938	5.53133	0.201904	-0.454652	0	0	0	0	0	0	0	0	
19.1	0.00081	1	2	1.5	0.214679	0.938	0.938	5.63292	0.158075	-0.461188	0	0	0	0	0	0	0	0	
19.2	0.000745	1	2	1.5	0.26371	0.938	0.938	5.72353	0.134114	-0.44394	0	0	0	0	0	0	0	0	
19.3	0.000692	1	2	1.5	0.234747	0.938	0.938	5.81343	0.0926345	-0.439267	0	0	0	0	0	0	0	0	
19.4	0.000742	1	2	1.5	0.263841	0.938	0.938	5.90532	0.073989	-0.418977	0	0	0	0	0	0	0	0	
19.5	0.000697	1	2	1.5	0.218712	0.938	0.938	5.95882	0.0582291	-0.419979	0	0	0	0	0	0	0	0	
19.6	0.000765	1	2	1.5	0.225668	0.938	0.938	6.10433	0.0335452	-0.391001	0	0	0	0	0	0	0	0	
19.7	0.000739	1	2	1.5	0.158679	0.938	0.938	6.22055	0.0233536	-0.376592	0	0	0	0	0	0	0	0	
19.8	0.000778	1	2	1.5	0.11205	0.938	0.938	6.31314	0.00766092	-0.358868	0	0	0	0	0	0	0	0	
19.9	0.0008	1	2	1.5	0.0817549	0.938	0.938	6.37193	0.00263007	-0.360935	0	0	0	0	0	0	0	0	
20	0.000745	1	2	1.5	0.0736063	0.938	0.938	6.52037	-0.0198643	-0.343992	0	0	0	0	0	0	0	0	
20.1	0.000831	1	2	1.5	0.0433347	0.938	0.938	6.61177	-0.0411557	-0.334186	0	0	0	0	0	0	0	0	
20.2	0.000916	1	2	1.5	0.0344727	0.938	0.938	6.72002	-0.0732329	-0.342697	0	0	0	0	0	0	0	0	
20.3	0.000734	1	2	1.5	0.0468936	0.938	0.938	6.81079	-0.096959	-0.335274	0	0	0	0	0	0	0	0	
20.4	0.000854	1	2	1.5	0.0419933	0.938	0.838	6.92531	-0.136858	-0.350567	0	0	0	0	0	0	0	-1	
20.5	0.000742	2	2	1.5	0.0686959	0.838	0.738	7.01002	-0.161793	-0.345375	0	0	0	0	0	0	0	-1	
20.6	0.000803	2	2	1.5	0.0679808	0.738	0.638	7.11551	-0.205296	-0.361835	0	0	0	0	0	0	0	-1	
20.7	0.000713	2	2	1.5	0.108802	0.638	0.538	7.18093	-0.224913	-0.357383	0	0	0	0	0	0	0	-1	
